,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,R01K100,R01K100.1,R01K100.1.1,R01K100.1.1.1,R01K100.1.1.1.1,R01K100.1.1.1.1.1,R01K100.1.1.1.1.1.1,R01K100
0,0,0,0,0,0,0,0.0,-0.2751908163181161,-0.1944895823285145,-0.3838265372370571,-0.9704929469185004,-0.6154365892443902,-0.33588220006636843,-0.2751750301584812,-0.47859719613366936
1,1,1,1,1,1,1,1.0,-0.3108641815148369,-0.3015574345493028,-0.4359885492430157,-1.014425815204234,-0.6673629640014481,-0.40741502609493396,-0.34767459428368075,-0.981108915675416
2,2,2,2,2,2,2,2.0,-0.332851011215008,-0.3289258750694584,-0.4411724128669541,-1.0205443231730122,-1.0086240885826971,-0.4232328830563189,-0.3776819890173471,-1.0109205494388873
3,3,3,3,3,3,3,3.0,-0.3327241485539835,-0.3364605520823134,-0.6482465179799698,-1.0227532960828751,-1.0250979888917835,-0.4231892755780801,-0.4072451914093844,-1.0129028128694442
4,4,4,4,4,4,4,4.0,-0.33259699053184816,-0.3386501522379402,-0.6479650529646587,-1.0250460392049858,-1.029941997439012,-0.42314499474231904,-0.4164034460761208,-1.0133373379675812
5,5,5,5,5,5,5,5.0,-0.3324695501855973,-0.3720212631493507,-0.6475625464575209,-1.0262630823240593,-1.029943592156214,-0.4231002311174819,-0.4261139372623615,-1.0212269436285617
6,6,6,6,6,6,6,6.0,-0.3652162950087385,-0.3719739234514181,-0.6471035478222432,-1.0266781946829426,-1.0294013240236586,-0.4230552322504634,-0.4280838693946744,-1.021898451879829
7,7,7,7,7,7,7,7.0,-0.3692207954381589,-0.39283143602868775,-0.9485827751483128,-1.0276519895019351,-1.0310126562625213,-0.4230103354659411,-0.4280739530326213,-1.0251296125178284
8,8,8,8,8,8,8,8.0,-0.39991953452764334,-0.3920093372885656,-0.9539983902566452,-1.0281944107573522,-1.030332317857496,-0.42296602082277335,-0.4280804967418087,-1.027896440036738
9,9,9,9,9,9,9,9.0,-0.4043550418495155,-0.5758484460534171,-1.02642402787662,-1.0287609498230073,-1.031510154737762,-0.4216020134396721,-0.4285924544620562,-1.0277167735960038
