,BFGS,Gradient Descent,ADAM,Linear Method
0,3813.0,28290.0,3649.0,
1,3977.0,3854.0,5207.0,5951.0
2,3649.0,2501.0,4100.0,4966.0
3,3321.0,3649.0,4059.0,9891.0
4,4715.0,27470.0,8282.0,6936.0
5,2419.0,4715.0,5412.0,9616.0
6,2419.0,19106.0,6888.0,9616.0
7,2419.0,19106.0,6888.0,9616.0
8,2419.0,19106.0,6888.0,9616.0
9,3157.0,2665.0,4387.0,9616.0
10,3157.0,25830.0,4387.0,9616.0
11,3977.0,9512.0,4797.0,9616.0
12,4715.0,26732.0,10455.0,9616.0
13,3731.0,16646.0,7749.0,9616.0
14,4305.0,2624.0,2993.0,9616.0
15,3485.0,2091.0,4633.0,9616.0
16,4633.0,7421.0,5289.0,19191.0
17,3239.0,3075.0,5043.0,19191.0
18,3403.0,4387.0,3895.0,19191.0
19,4059.0,28700.0,9184.0,19191.0
20,2829.0,2870.0,4961.0,19191.0
21,5125.0,8815.0,4305.0,19191.0
22,3321.0,7134.0,5904.0,19191.0
23,2829.0,2501.0,5822.0,19191.0
