,LM,Adam,Grad,SciPy
0,75.234375,8.859375,32.875,3.609375
1,71.78125,10.3125,13.21875,5.34375
2,72.65625,11.671875,36.34375,5.265625
3,73.75,11.328125,24.890625,5.703125
4,66.65625,9.75,18.359375,2.90625
5,77.765625,10.171875,31.4375,3.234375
6,90.515625,10.515625,29.875,4.109375
7,1392.390625,9.09375,46.15625,5.96875
8,1306.75,6.296875,28.703125,4.046875
9,1369.921875,9.546875,31.34375,4.1875
10,1348.953125,14.75,20.34375,2.765625
11,1380.0,8.75,30.65625,3.8125
12,2042.578125,12.453125,11.015625,5.3125
13,1386.546875,3.875,13.390625,4.5
14,1429.8125,12.46875,36.96875,4.015625
